FilmoId,WdLien
2974,http://www.wikidata.org/entity/Q108946
202,http://www.wikidata.org/entity/Q109110
249,http://www.wikidata.org/entity/Q162997
127,http://www.wikidata.org/entity/Q174460
184,http://www.wikidata.org/entity/Q207954
2020,http://www.wikidata.org/entity/Q241141
3005,http://www.wikidata.org/entity/Q260616
36,http://www.wikidata.org/entity/Q389791
2980,http://www.wikidata.org/entity/Q464032
143,http://www.wikidata.org/entity/Q477707
1940,http://www.wikidata.org/entity/Q488041
337,http://www.wikidata.org/entity/Q501105
2435,http://www.wikidata.org/entity/Q517912
263,http://www.wikidata.org/entity/Q518127
247,http://www.wikidata.org/entity/Q536676
216,http://www.wikidata.org/entity/Q576456
171,http://www.wikidata.org/entity/Q594385
2631,http://www.wikidata.org/entity/Q595363
425,http://www.wikidata.org/entity/Q602998
11278,http://www.wikidata.org/entity/Q658822
4618,http://www.wikidata.org/entity/Q662779
1075,http://www.wikidata.org/entity/Q672061
13,http://www.wikidata.org/entity/Q682262
354,http://www.wikidata.org/entity/Q689393
11,http://www.wikidata.org/entity/Q693721
268,http://www.wikidata.org/entity/Q699028
3112,http://www.wikidata.org/entity/Q773816
3,http://www.wikidata.org/entity/Q845057
51477,http://www.wikidata.org/entity/Q932458
33,http://www.wikidata.org/entity/Q953202
278,http://www.wikidata.org/entity/Q961829
3002,http://www.wikidata.org/entity/Q981189
3483,http://www.wikidata.org/entity/Q988004
1227,http://www.wikidata.org/entity/Q998317
135,http://www.wikidata.org/entity/Q1049604
460,http://www.wikidata.org/entity/Q1108471
1887,http://www.wikidata.org/entity/Q1125262
2446,http://www.wikidata.org/entity/Q1140745
55,http://www.wikidata.org/entity/Q1168292
484,http://www.wikidata.org/entity/Q1188701
3069,http://www.wikidata.org/entity/Q1193014
3032,http://www.wikidata.org/entity/Q1195774
430,http://www.wikidata.org/entity/Q1211063
14354,http://www.wikidata.org/entity/Q1217888
1350,http://www.wikidata.org/entity/Q1304320
215,http://www.wikidata.org/entity/Q1305427
412,http://www.wikidata.org/entity/Q1366541
44,http://www.wikidata.org/entity/Q1423576
12799,http://www.wikidata.org/entity/Q1434632
5473,http://www.wikidata.org/entity/Q1471849
1322,http://www.wikidata.org/entity/Q1498122
1237,http://www.wikidata.org/entity/Q1505754
1950,http://www.wikidata.org/entity/Q1508130
211,http://www.wikidata.org/entity/Q1551916
2101,http://www.wikidata.org/entity/Q1558569
25,http://www.wikidata.org/entity/Q1619096
42,http://www.wikidata.org/entity/Q1636538
166,http://www.wikidata.org/entity/Q1661276
24101,http://www.wikidata.org/entity/Q1757911
104984,http://www.wikidata.org/entity/Q2096868
15877,http://www.wikidata.org/entity/Q2268296
285,http://www.wikidata.org/entity/Q2394370
15494,http://www.wikidata.org/entity/Q2398429
10014,http://www.wikidata.org/entity/Q2453778
411,http://www.wikidata.org/entity/Q2466760
1419,http://www.wikidata.org/entity/Q2480639
15410,http://www.wikidata.org/entity/Q2549305
2307,http://www.wikidata.org/entity/Q2599933
206,http://www.wikidata.org/entity/Q2963312
14331,http://www.wikidata.org/entity/Q2996815
421,http://www.wikidata.org/entity/Q3201333
413,http://www.wikidata.org/entity/Q3209291
359,http://www.wikidata.org/entity/Q3211290
1674,http://www.wikidata.org/entity/Q3227109
41964,http://www.wikidata.org/entity/Q3233512
25204,http://www.wikidata.org/entity/Q3284038
42863,http://www.wikidata.org/entity/Q3316591
1382,http://www.wikidata.org/entity/Q3548852
414,http://www.wikidata.org/entity/Q3549531
46,http://www.wikidata.org/entity/Q3549890
19618,http://www.wikidata.org/entity/Q3716081
2969,http://www.wikidata.org/entity/Q3794522
2627,http://www.wikidata.org/entity/Q3898257
156,http://www.wikidata.org/entity/Q4016112
3358,http://www.wikidata.org/entity/Q4744394
102376,http://www.wikidata.org/entity/Q5222557
2977,http://www.wikidata.org/entity/Q5492708
1272,http://www.wikidata.org/entity/Q7258890
16876,http://www.wikidata.org/entity/Q7731969
12361,http://www.wikidata.org/entity/Q10378279
28055,http://www.wikidata.org/entity/Q12322430
105087,http://www.wikidata.org/entity/Q15524911
39534,http://www.wikidata.org/entity/Q16651176
41314,http://www.wikidata.org/entity/Q16654312
2978,http://www.wikidata.org/entity/Q16676909
426,http://www.wikidata.org/entity/Q18158595
10453,http://www.wikidata.org/entity/Q20814634
122,http://www.wikidata.org/entity/Q24938017
389,http://www.wikidata.org/entity/Q18442
256,http://www.wikidata.org/entity/Q47221
1137,http://www.wikidata.org/entity/Q105702
106934,http://www.wikidata.org/entity/Q111788
1323,http://www.wikidata.org/entity/Q128930
61423,http://www.wikidata.org/entity/Q139460
130,http://www.wikidata.org/entity/Q162331
833,http://www.wikidata.org/entity/Q202264
1271,http://www.wikidata.org/entity/Q209170
1384,http://www.wikidata.org/entity/Q227474
107643,http://www.wikidata.org/entity/Q266552
1329,http://www.wikidata.org/entity/Q280682
1359,http://www.wikidata.org/entity/Q369908
1184,http://www.wikidata.org/entity/Q387832
59,http://www.wikidata.org/entity/Q506279
6109,http://www.wikidata.org/entity/Q527598
11351,http://www.wikidata.org/entity/Q568048
124,http://www.wikidata.org/entity/Q584159
1423,http://www.wikidata.org/entity/Q639864
1235,http://www.wikidata.org/entity/Q640067
6,http://www.wikidata.org/entity/Q650043
1071,http://www.wikidata.org/entity/Q659896
99139,http://www.wikidata.org/entity/Q699224
11730,http://www.wikidata.org/entity/Q699586
99216,http://www.wikidata.org/entity/Q723543
94,http://www.wikidata.org/entity/Q756882
1281,http://www.wikidata.org/entity/Q814296
619,http://www.wikidata.org/entity/Q846209
1452,http://www.wikidata.org/entity/Q887192
620,http://www.wikidata.org/entity/Q916431
1072,http://www.wikidata.org/entity/Q950865
88,http://www.wikidata.org/entity/Q1042931
1441,http://www.wikidata.org/entity/Q1125566
10256,http://www.wikidata.org/entity/Q1143753
111,http://www.wikidata.org/entity/Q1146552
11121,http://www.wikidata.org/entity/Q1151392
6826,http://www.wikidata.org/entity/Q1170086
7207,http://www.wikidata.org/entity/Q1193389
966,http://www.wikidata.org/entity/Q1193773
1051,http://www.wikidata.org/entity/Q1193924
10922,http://www.wikidata.org/entity/Q1195060
147,http://www.wikidata.org/entity/Q1195396
1353,http://www.wikidata.org/entity/Q1195531
8457,http://www.wikidata.org/entity/Q1197936
10929,http://www.wikidata.org/entity/Q1212692
724,http://www.wikidata.org/entity/Q1215332
80,http://www.wikidata.org/entity/Q1216271
12,http://www.wikidata.org/entity/Q1234074
1467,http://www.wikidata.org/entity/Q1243029
1006,http://www.wikidata.org/entity/Q1263583
8557,http://www.wikidata.org/entity/Q1313452
1245,http://www.wikidata.org/entity/Q1384699
582,http://www.wikidata.org/entity/Q1436574
610,http://www.wikidata.org/entity/Q1542184
10,http://www.wikidata.org/entity/Q1548602
11566,http://www.wikidata.org/entity/Q1586719
1402,http://www.wikidata.org/entity/Q1632217
77978,http://www.wikidata.org/entity/Q1676155
1325,http://www.wikidata.org/entity/Q1766802
1009,http://www.wikidata.org/entity/Q1772438
6353,http://www.wikidata.org/entity/Q1814677
14167,http://www.wikidata.org/entity/Q1903317
56544,http://www.wikidata.org/entity/Q1918052
8,http://www.wikidata.org/entity/Q2345355
6781,http://www.wikidata.org/entity/Q2357585
8671,http://www.wikidata.org/entity/Q2406308
107668,http://www.wikidata.org/entity/Q2493866
766,http://www.wikidata.org/entity/Q2549022
108565,http://www.wikidata.org/entity/Q2613800
61288,http://www.wikidata.org/entity/Q2682208
5689,http://www.wikidata.org/entity/Q2702017
9912,http://www.wikidata.org/entity/Q2729420
8780,http://www.wikidata.org/entity/Q2906467
109,http://www.wikidata.org/entity/Q3025523
11159,http://www.wikidata.org/entity/Q3203828
1161,http://www.wikidata.org/entity/Q3209351
5961,http://www.wikidata.org/entity/Q3314697
12257,http://www.wikidata.org/entity/Q3372909
7672,http://www.wikidata.org/entity/Q3393927
14253,http://www.wikidata.org/entity/Q3521195
710,http://www.wikidata.org/entity/Q3549133
10340,http://www.wikidata.org/entity/Q3562348
14059,http://www.wikidata.org/entity/Q3790311
8303,http://www.wikidata.org/entity/Q3974397
100020,http://www.wikidata.org/entity/Q5223263
1241,http://www.wikidata.org/entity/Q6832896
11813,http://www.wikidata.org/entity/Q7733648
10695,http://www.wikidata.org/entity/Q7749809
11071,http://www.wikidata.org/entity/Q7754110
6980,http://www.wikidata.org/entity/Q7773301
1450,http://www.wikidata.org/entity/Q7773947
105243,http://www.wikidata.org/entity/Q8954081
14042,http://www.wikidata.org/entity/Q13548390
1432,http://www.wikidata.org/entity/Q15927316
8353,http://www.wikidata.org/entity/Q16651852
108555,http://www.wikidata.org/entity/Q19702742
13099,http://www.wikidata.org/entity/Q24884149
13741,http://www.wikidata.org/entity/Q41610011
13253,http://www.wikidata.org/entity/Q59619109
1219,http://www.wikidata.org/entity/Q26391
805,http://www.wikidata.org/entity/Q58553
1236,http://www.wikidata.org/entity/Q58439
20,http://www.wikidata.org/entity/Q127021
3339,http://www.wikidata.org/entity/Q133654
3014,http://www.wikidata.org/entity/Q144970
3446,http://www.wikidata.org/entity/Q162518
1908,http://www.wikidata.org/entity/Q241958
17133,http://www.wikidata.org/entity/Q248775
2207,http://www.wikidata.org/entity/Q258830
2871,http://www.wikidata.org/entity/Q284870
17,http://www.wikidata.org/entity/Q374235
15535,http://www.wikidata.org/entity/Q382408
1471,http://www.wikidata.org/entity/Q426346
26306,http://www.wikidata.org/entity/Q464430
310,http://www.wikidata.org/entity/Q504961
3669,http://www.wikidata.org/entity/Q505525
418,http://www.wikidata.org/entity/Q517239
15,http://www.wikidata.org/entity/Q589237
2187,http://www.wikidata.org/entity/Q601013
2206,http://www.wikidata.org/entity/Q686900
2716,http://www.wikidata.org/entity/Q694781
2963,http://www.wikidata.org/entity/Q698644
3272,http://www.wikidata.org/entity/Q794395
2919,http://www.wikidata.org/entity/Q797849
358,http://www.wikidata.org/entity/Q827105
23116,http://www.wikidata.org/entity/Q833297
31991,http://www.wikidata.org/entity/Q842443
3046,http://www.wikidata.org/entity/Q945883
3271,http://www.wikidata.org/entity/Q1143771
3020,http://www.wikidata.org/entity/Q1182423
